vehicle_id,Time [s],x[m],y[m],Speed [km/h],flw_type,f_error
35,13.246593,511816.85457909456,5026521.026185088,53.98162894043761,Heavy Vehicle,10.32009304979753
35,13.279959,511816.28913446935,5026521.293828756,53.965697758724914,Heavy Vehicle,10.32009304979753
35,13.313326,511815.71094988985,5026521.56782433,53.95925795621677,Heavy Vehicle,10.32009304979753
35,13.346693,511815.1620469303,5026521.832206447,53.96185475922731,Heavy Vehicle,10.32009304979753
35,13.38006,511814.5363932792,5026522.12491178,53.973062313663355,Heavy Vehicle,10.32009304979753
35,13.413426,511813.9500397579,5026522.397994433,53.99247236377774,Heavy Vehicle,10.32009304979753
35,13.446793,511813.340984846,5026522.677409751,54.01969258643734,Heavy Vehicle,10.32009304979753
35,13.48016,511812.7352374329,5026522.955176022,54.054341377135394,Heavy Vehicle,10.32009304979753
35,13.513527,511812.14283470926,5026523.241274692,54.09605814901586,Heavy Vehicle,10.32009304979753
35,13.546893,511811.56577318325,5026523.5097245155,54.14449401510431,Heavy Vehicle,10.32009304979753
35,13.58026,511810.9840828914,5026523.7804821655,54.19930740521913,Heavy Vehicle,10.32009304979753
35,13.613627,511810.4237797023,5026524.045562408,54.26017388477925,Heavy Vehicle,10.32009304979753
35,13.646994,511809.8408818706,5026524.316922106,54.326774602214776,Heavy Vehicle,10.32009304979753
35,13.68036,511809.28742772155,5026524.578587543,54.39880254025347,Heavy Vehicle,10.32009304979753
35,13.713727,511808.71743724565,5026524.858497696,54.47595838001722,Heavy Vehicle,10.32009304979753
35,13.747094,511808.15492113004,5026525.124681262,54.55795305054562,Heavy Vehicle,10.32009304979753
35,13.78046,511807.5999331798,5026525.387111425,54.644503892930196,Heavy Vehicle,10.32009304979753
35,13.813827,511809.15999999666,5026524.599999999,54.73533715798819,Heavy Vehicle,10.32009304979753
35,13.847194,511808.6173128949,5026524.861283002,54.87999344197374,Heavy Vehicle,10.32009304979753
35,13.880561,511808.0752646369,5026525.12224749,55.02357391832504,Heavy Vehicle,10.32009304979753
35,13.913927,511807.53785764123,5026525.38089793,55.166056526947635,Heavy Vehicle,10.32009304979753
35,13.947294,511807.0051224439,5026525.6372190965,55.30741906049728,Heavy Vehicle,10.32009304979753
35,13.980661,511806.4830495252,5026525.8932100665,55.4476423644957,Heavy Vehicle,10.32009304979753
35,14.014028,511805.96563745616,5026526.146877222,55.58670719110593,Heavy Vehicle,10.32009304979753
35,14.047394,511805.4488970882,5026526.390209484,55.72459636558905,Heavy Vehicle,10.32009304979753
35,14.080761,511804.9288382605,5026526.6451962525,55.861293749275774,Heavy Vehicle,10.32009304979753
35,14.114128,511804.4214580804,5026526.893861692,55.99678426796248,Heavy Vehicle,10.32009304979753
35,14.147495,511803.9027519191,5026527.148174058,56.13105504641375,Heavy Vehicle,10.32009304979753
35,14.180861,511803.4067232604,5026527.396165657,56.26409546224037,Heavy Vehicle,10.32009304979753
35,14.214228,511802.91937696957,5026527.639828375,56.395894955323385,Heavy Vehicle,10.32009304979753
35,14.247595,511802.4206980192,5026527.88914136,56.52644529211027,Heavy Vehicle,10.32009304979753
35,14.280961,511801.9566885871,5026528.116154572,56.65574061910369,Heavy Vehicle,10.32009304979753
35,14.314328,511801.4633273913,5026528.362816223,56.7837752216325,Heavy Vehicle,10.32009304979753
35,14.347695,511800.99663675553,5026528.60116623,56.91054583670693,Heavy Vehicle,10.32009304979753
35,14.381062,511800.51258145133,5026528.843188134,57.036051704536405,Heavy Vehicle,10.32009304979753
35,14.414428,511800.03916130285,5026529.074893355,57.160292274855706,Heavy Vehicle,10.32009304979753
35,14.447795,511799.5743744974,5026529.312294147,57.283270747689606,Heavy Vehicle,10.32009304979753
35,14.481162,511799.1101998419,5026529.549389743,57.404991768309344,Heavy Vehicle,10.32009304979753
35,14.514529,511798.65061596944,5026529.774196453,57.52546264555165,Heavy Vehicle,10.32009304979753
35,14.547895,511798.1876224808,5026530.01070313,57.644695805095466,Heavy Vehicle,10.32009304979753
35,14.581262,511797.7252043779,5026530.246922941,57.76269795974484,Heavy Vehicle,10.32009304979753
35,14.614629,511797.2633366061,5026530.472868361,57.879465105154544,Heavy Vehicle,10.32009304979753
35,14.647996,511796.8020642544,5026530.708516911,57.994987230571766,Heavy Vehicle,10.32009304979753
35,14.681362,511796.3413633825,5026530.943880542,58.109254394138134,Heavy Vehicle,10.32009304979753
35,14.714729,511795.88523288,5026531.166965464,58.2222592172313,Heavy Vehicle,10.32009304979753
35,14.748096,511795.4337089327,5026531.397753651,58.33397059788208,Heavy Vehicle,10.32009304979753
35,14.781462,511794.9747710584,5026531.632238273,58.44435726270152,Heavy Vehicle,10.32009304979753
35,14.814829,511794.5204167133,5026531.854437635,58.55341446702214,Heavy Vehicle,10.32009304979753
35,14.848196,511794.0666466714,5026532.086345684,58.66113889660228,Heavy Vehicle,10.32009304979753
35,14.881563,511793.6094599911,5026532.319957194,58.767529980669394,Heavy Vehicle,10.32009304979753
35,14.914929,511793.1568344813,5026532.541294591,58.87258993857123,Heavy Vehicle,10.32009304979753
35,14.948296,511792.70878349827,5026532.770351221,58.976321213405015,Heavy Vehicle,10.32009304979753
35,14.981663,511792.2532706312,5026533.003128198,59.07872909853184,Heavy Vehicle,10.32009304979753
35,15.01503,511791.8062787384,5026533.221656777,59.179823102161905,Heavy Vehicle,10.32009304979753
35,15.048396,511791.34182174713,5026533.453907323,59.27961301506432,Heavy Vehicle,10.32009304979753
35,15.081763,511790.8878710978,5026533.685905406,59.37811158326406,Heavy Vehicle,10.32009304979753
35,15.11513,511790.4384039508,5026533.905668102,59.475334542737606,Heavy Vehicle,10.32009304979753
35,15.148497,511789.99342586147,5026534.133192644,59.571299294966636,Heavy Vehicle,10.32009304979753
35,15.181863,511789.54887998546,5026534.3505016845,59.666026279770804,Heavy Vehicle,10.32009304979753
35,15.21523,511789.08678340307,5026534.581575374,59.75953762884781,Heavy Vehicle,10.32009304979753
35,15.248597,511788.635102093,5026534.812442007,59.85185854954881,Heavy Vehicle,10.32009304979753
35,15.281963,511788.19581653806,5026535.027128349,59.94301595626037,Heavy Vehicle,10.32009304979753
35,15.31533,511787.744899031,5026535.257614175,60.03304125949933,Heavy Vehicle,10.32009304979753
35,15.348697,511787.2883216273,5026535.485936091,60.12196758801235,Heavy Vehicle,10.32009304979753
35,15.382064,511786.8500763292,5026535.70010378,60.20982836992041,Heavy Vehicle,10.32009304979753
35,15.41543,511786.40012778435,5026535.9301065,60.29666014208338,Heavy Vehicle,10.32009304979753
35,15.448797,511785.96245715953,5026536.143987667,60.382498279041116,Heavy Vehicle,10.32009304979753
35,15.482164,511785.50702762697,5026536.371737287,60.46737838404927,Heavy Vehicle,10.32009304979753
35,15.515531,511785.0578274124,5026536.601366891,60.551344887967446,Heavy Vehicle,10.32009304979753
35,15.548897,511784.62082339474,5026536.814915701,60.63444242217476,Heavy Vehicle,10.32009304979753
35,15.582264,511784.1659740249,5026537.042376062,60.71672013333058,Heavy Vehicle,10.32009304979753
35,15.615631,511783.7292659776,5026537.255777306,60.798230216944106,Heavy Vehicle,10.32009304979753
35,15.648997,511783.2926575062,5026537.4791289,60.87902789157556,Heavy Vehicle,10.32009304979753
35,15.682364,511782.83810607507,5026537.696440719,60.959171367508894,Heavy Vehicle,10.32009304979753
35,15.715731,511782.40159519715,5026537.919743652,61.03872033804352,Heavy Vehicle,10.32009304979753
35,15.749098,511781.96109101735,5026538.145037575,61.11773888706038,Heavy Vehicle,10.32009304979753
35,15.782464,511781.5185493757,5026538.3563615335,61.19627767289603,Heavy Vehicle,10.32009304979753
35,15.815831,511781.08197072893,5026538.579698255,61.27437387085964,Heavy Vehicle,10.32009304979753
35,15.849198,511780.63131186226,5026538.795069315,61.35206603409621,Heavy Vehicle,10.32009304979753
35,15.882565,511780.19860109524,5026539.016477583,61.42939407180438,Heavy Vehicle,10.32009304979753
35,15.915931,511779.7437630263,5026539.243932311,61.5063932375963,Heavy Vehicle,10.32009304979753
35,15.949298,511779.3188143796,5026539.451470534,61.58310161841219,Heavy Vehicle,10.32009304979753
35,15.982665,511778.8637136633,5026539.679056203,61.65955860573142,Heavy Vehicle,10.32009304979753
35,16.016032,511778.4424598592,5026539.884752255,61.73580035003039,Heavy Vehicle,10.32009304979753
35,16.049398,511777.9950372549,5026540.108509758,61.81185975101116,Heavy Vehicle,10.32009304979753
35,16.082765,511777.56142023904,5026540.3203698695,61.88776947841946,Heavy Vehicle,10.32009304979753
35,16.116132,511777.1176028971,5026540.542329866,61.96355741099918,Heavy Vehicle,10.32009304979753
35,16.149498,511776.69156561466,5026540.750410862,62.039251199522674,Heavy Vehicle,10.32009304979753
35,16.182865,511776.2472487765,5026540.972619899,62.11493755327035,Heavy Vehicle,10.32009304979753
35,16.216232,511775.8286632416,5026541.186985587,62.19069182251785,Heavy Vehicle,10.32009304979753
35,16.249599,511775.3837794962,5026541.399477266,62.26650944617113,Heavy Vehicle,10.32009304979753
